gene,A_S08,A_S10,A_S06,A_S07,A_S09,A_S11,A_S12,A_S13,A_S14,A_S15,B_S08,B_S10,B_S06,B_S07,B_S09,B_S11,B_S12,B_S13,B_S14,B_S15,D_S08,D_S10,D_S06,D_S07,D_S09,D_S11,D_S12,D_S13,D_S14,D_S15,E_S08,E_S10,E_S06,E_S07,E_S09,E_S11,E_S12,E_S13,E_S14,E_S15
CKS2,-5.553312722560249,-4.221307761911716,-3.6542992719509986,-2.4116429020367143,-2.856927910022444,-2.5382667533638923,-1.7443399894606986,-3.3405756289804858,-3.959995232323924,-3.653659107252141,-3.076921883406789,-3.096378187788251,-2.875565425858586,-2.0138560827323304,-2.163218493576265,-1.7829457409019953,-1.233051698369889,-3.132743190620703,-3.1094197258827676,-3.1388084375821235,-3.2205270405600404,-3.5267650361811356,-2.6300357633342095,-2.0470281919464184,-2.096975209324603,-0.5921781468180941,-1.5414258557117262,-2.9360725996633756,-3.2045968316349014,-2.9963938563967547,-2.9772457708588975,-2.8921548547773988,-2.337586407294005,-1.204008370761078,-1.636587020449633,-1.377701090043756,-0.6120987514599614,-2.3761444711466773,-2.751671478680118,0.6462899562250325
COL1A1,2.730547331493594,-3.1231273679728133,3.832055631829498,-0.406076226162173,0.2774495127407715,3.1255628216429883,2.4470157678658446,1.2469793163571947,0.28290921447549416,0.24110792927388788,2.1408627568141148,-4.080258522424974,3.538354251405385,-0.9969162203106182,-0.28511079859677546,2.994299670057662,2.376254621331015,1.0974265813074646,0.09973134638920628,0.11357872405216198,2.3315015707990328,-3.6157700422398804,3.4256863618257567,-0.7678380177215838,-0.19167261061927673,-0.9141062417054564,2.4284361019862732,0.976226418552433,0.04333068180868428,0.015967529612865752,3.240308093541169,-2.9162003287440497,3.8542130937710697,-0.16672735468161862,0.29647675137735624,3.275977302241839,2.6196201139076245,1.4029465986922054,0.4635046038570945,-0.5390509756636169
ESR1,-3.2313846276728864,-3.348687068387944,-4.2989680187964225,-4.31111602608275,-4.047611471631553,-3.8569122642619535,-6.668104403633613,-4.759076983562901,-4.196062590557448,-4.709035864288515,-4.884276805464394,-4.484648777504309,-4.689152301627705,-5.543109150867199,-5.060125000612161,-4.634423216191907,-6.705539469832632,-6.140562695080002,-4.694382226603924,-5.351802160916322,-3.805489541281197,-4.309666914514201,-4.554086910100911,-4.490946811212392,-4.816587236740541,-0.5921781468180941,-5.456393141642924,-5.244517465187116,-4.547898577314831,-4.695527377037222,-2.7548533495224494,-3.681735075107027,-4.074552001460211,-4.322005580159529,-4.7054821016607,-3.6835095195678416,-5.153471983633435,-4.979028879865096,-3.981153324802886,-0.9264765929566288
EZH2,-3.8163471283940424,-2.4945379348513987,-3.9892835196638075,-3.9454665537660696,-4.267392679511463,-4.31634388289925,-3.5461138792550027,-5.874554200982837,-5.33036368226904,-4.969563414511733,-3.424845186827096,-2.6652210231461297,-3.779350110599283,-3.915077928254157,-4.217666277598641,-4.028702155303954,-3.3086493172640483,-4.9092371489735465,-4.95072197986371,-4.518452030325773,-3.805489541281197,-2.703642798265215,-3.9815081338355873,-3.9934471517415746,-3.965109761450629,-1.3291437409843003,-3.8613418232981838,-4.889422506364554,-5.404534402143653,-4.629184882208526,-2.655317675971535,-2.3847533373498955,-3.871018607375079,-3.5335096853532413,-4.274847747330838,-4.268472020288997,-3.282755000578401,-4.943404970134375,-5.669209318488146,-0.2451433252041743
FBLIM1,0.021596113496984634,-2.5831523220249673,-2.9409204981024084,-2.821731185343825,-1.5023951497031538,-3.082724206139549,-3.2757869808548525,-3.0083055898716644,-3.3480656840024983,-3.7471709931752857,-0.7757523486862243,-3.1458468640525505,-3.6250219642079897,-3.144559774376924,-2.1833963755138948,-3.4437396545827976,-3.6351501419412346,-3.132743190620703,-3.5660581296283844,-3.820278919156626,-0.3625460454324684,-2.7532735659898155,-2.7414570460026324,-2.8369426660615837,-1.5919563432080939,0.2558187597368558,-3.196526014887813,-2.9842816927059954,-3.328585548910355,-3.278369825884009,-0.13594351687795558,-2.4446958778061774,-2.5339836200975085,-2.5335096853532413,-1.2403593709455476,-2.715930997260219,-2.9077155692314767,-2.7387145505313852,-2.9443165566225145,-1.1228717977346265
FGFR4,-4.138275223281405,-5.8474929253593855,-6.126787043413742,-4.256668242060374,-5.7638185056309625,-6.792781926842238,-6.755567244883952,-6.330233684759027,-6.16435373083011,-6.910669725458165,-4.299314304743237,-6.402186617312336,-5.926191498928555,-4.543109150867199,-5.274249805965009,-6.573022671527764,-7.442505063998839,-6.757234055528496,-7.313292059248417,-7.226271278832463,-2.805489541281197,-5.696690037623448,-5.195632939188434,-3.797049938938071,-5.0547469739353055,0.5453253769318407,-6.534395653644197,-5.500857218446901,-6.154556149135305,-6.4610621234001995,-4.240280176692691,-5.811018092051993,-5.212055525210146,-4.611512197354514,-5.528604339576622,-6.474922897756424,-7.112829999136089,-5.841525356115161,-7.031779397872854,0.4052111615006087
GAS1,-1.614713267224392,-0.0775832325782644,2.7874485789181676,2.5112709557019643,2.7629601631095935,1.679776480133795,2.1404812850131583,0.4254169462457683,1.749576323238229,1.652946040171601,-2.1293893033009246,-0.4351205066744191,2.4008798992347677,2.2105634501374105,2.300759914329942,1.4128192654755765,1.876163268394258,0.01886993254466806,1.4563096834000702,1.3252447387955513,-2.281927585224184,-0.5298510160548784,2.4807473162784897,2.0962240093045352,2.3476638697673766,0.08589375829454357,1.5535385795531198,0.24733563114255872,1.4870030163201586,1.484030507139757,-2.9772457708588975,-0.8223334052798275,2.0186854774167635,1.7223885391989238,1.9358628689579744,0.9616284961827134,1.4833597570083215,-0.20952158842885096,1.0759981290201925,0.1399693228316222
IFNGR1,1.2626042130007795,0.9958137047506942,3.175966103487831,2.1148260863187995,2.101251914282929,3.3163105872102268,1.2175919697057822,1.7733538732989707,2.3060841049054,2.506592091599095,0.6392851505926197,0.3645263202479221,2.544903037234323,1.50426266829115,1.3833901992428157,2.6625927104068543,0.49609439133701794,1.0074164155748693,1.5689142729795034,1.7949863417280558,1.0953772666995518,0.6321574712037049,2.871747638830625,1.7575389127395662,1.7141159468282094,0.6708562590156998,2.10391957817289,1.3783856524829559,1.9444329454960612,2.1443433134249195,0.9691731889362587,0.5683602750192689,2.7292855802751532,1.7283378055301102,1.4997267918249502,2.831839894852227,0.6902247854878898,1.1818509819742096,1.7034139424047547,0.29784224746814864
IGF2,3.2432677279031803,0.3022541941452962,4.863033176703854,3.7506186377692594,1.7959682668637982,2.039007213525562,3.008371267211729,3.7782534347078167,1.3417166411570145,-1.451238106820868,4.021862190730987,1.180269027798245,5.7256610399394345,4.558627821365259,2.528460413326334,3.0413804446090618,4.07461749661037,4.855757271360412,2.309544188885674,-0.4137730534988991,4.013092636199661,1.1854826955024793,5.765266776655998,4.47152395904622,2.5415383660724506,-0.9141062417054564,3.49298820043582,5.075259663041451,2.429723095574553,-0.12335103127190919,4.21257878802112,0.8746067476743615,5.367700382978468,4.233280731063183,2.148708737304507,2.7232387715064217,3.76411321277132,4.649598922295054,2.0461807411189183,-0.3457612906594766
KDR,-2.7459578005026444,-4.031204878531774,-0.4887132062330237,-3.924092902973503,-2.0320146165805353,-1.8045912291318713,-2.1045155537050237,-0.8147591091877361,-0.7557009349187377,-2.280730316018625,-2.7968139642140537,-4.080258522424974,-0.7534068433470013,-3.832615768062184,-2.217666277598641,-2.197983240180839,-2.493488992717644,-1.3087735547122024,-1.0199846423008232,-2.7153093595550835,-3.2205270405600404,-4.227204754322228,-1.0581294154385,-5.054847696405718,-2.6748132756123777,-0.5921781468180941,-2.9099047887364033,-1.5083908911323087,-1.5668638556585772,-3.099293763981046,-2.474745430329714,-3.928375042690152,-1.0910401242487802,-4.533509685353241,-2.408865095302526,-2.2446252783346297,-2.7591930445213886,-1.2348677842946858,-1.1078152889053936,-0.131845395359484
