y,ARID1B,CCL21,CCN1,CCND2,CD3E,CDC20,CDK6,CDKN2A,CDKN2C,CHEK1,CKS2,COL1A1,ESR1,EZH2,FBLIM1,FGFR4,GAS1,IFNGR1,IGF2,KDR,KIF20A,KRT14,LINC02593,MDM4,MMP9,MUTYH,MYBL1,PGK1,PGR,PIM1,SPOP,TAGLN,TMEM30B,USF1
0.2239308122757016,-0.371125,-6.136659,-0.469903,-1.210660,-4.458587,-2.481307,-4.873625,-4.999156,-1.527850,-3.551697,-1.999156,-2.229769,-4.758148,-3.414193,-3.210660,-3.999156,1.264220,2.345544,6.941191,1.846334,-4.999156,-6.136659,-4.066270,-0.114291,-5.136659,-3.651232,-3.288662,2.213838,0.355194,-3.703700,-0.950793,-1.651232,-0.464234,-2.999156
0.3785949097677008,-0.041019,-5.475647,2.148234,-1.162764,-5.475647,-3.521451,-4.016216,-4.668292,-3.227720,-3.831791,-2.831791,-2.498367,-4.475647,-3.775208,-2.032704,-4.568757,2.073175,2.774059,0.925232,-2.775208,-6.475647,-6.890685,-2.049383,0.487249,-5.668292,-2.831791,-3.016216,2.322014,1.295842,-3.190245,-0.388185,0.743521,3.568064,-3.118095
0.3186496425957702,-0.145200,-3.794293,1.360986,-1.063900,-2.498837,-3.446369,-4.253724,-3.553285,-1.346834,-4.668762,-2.931796,0.189219,-4.253724,-4.446369,-1.044271,-4.446369,0.246122,1.945948,1.230092,-1.187635,-3.794293,-4.931796,-1.187635,-0.553285,-4.668762,-2.395743,-4.931796,2.047772,-2.609868,-0.913874,-0.949943,2.381087,-0.311210,-2.498837
0.2752266155686977,-0.129320,-7.442203,1.374781,-2.714282,-6.120275,-4.049885,-2.194275,-2.609313,-1.755702,-4.354740,-3.194275,1.514899,-5.442203,-3.584222,-2.660843,-4.535312,-0.721104,1.912047,5.056771,0.776966,-4.982771,-5.442203,-3.584222,-0.138422,-4.982771,-3.049885,-5.634848,1.942581,-3.232749,-2.376114,-0.966469,0.676738,1.208849,-2.950350
0.6479796910783495,-1.119779,-6.367707,3.219602,-2.259182,-4.045779,-3.119779,-1.992667,-3.010155,-2.612819,-3.280244,-2.027857,4.458643,-6.045779,-3.238424,-1.626240,-5.782744,-1.110319,0.706435,0.983232,-2.158253,-4.045779,-4.667267,-4.280244,-0.280244,0.058558,-3.045779,-4.280244,2.773762,-6.367707,-0.233280,-1.448844,1.252513,-5.197782,-2.119779
0.3087826635991738,-0.732733,-6.158998,2.751895,-2.100104,-4.284528,-3.220398,-4.422032,-3.220398,-2.789764,-5.158998,-4.043520,0.289463,-5.422032,-4.043520,-2.071535,-5.422032,0.550661,1.213142,1.405787,-2.743960,-4.743960,-5.743960,-1.677871,-0.220398,-2.885979,-2.789764,-6.158998,1.839123,-0.440179,-3.284528,-0.825097,1.527503,2.951268,-2.496033
0.2015704680863683,-0.740546,-6.560724,2.483670,-0.839625,-3.702743,-3.606528,-2.068871,-2.629987,-1.779365,-5.975762,-3.805837,1.284766,-4.753370,-4.975762,-1.975762,-5.101293,1.596622,1.832666,4.737768,0.729294,-5.390799,-5.975762,-2.006136,-0.270706,-6.560724,-2.538357,-4.560724,2.067721,-1.284600,-1.902513,-0.740546,0.956945,0.284766,-2.516330
0.5630583772504313,0.069704,-6.017759,4.489045,-1.558327,-2.847834,-3.847834,-3.695831,-3.110868,-0.888476,-4.017759,-3.017759,1.811964,-3.847834,-4.432796,-1.625441,-4.695831,1.290580,1.747113,2.952347,-3.432796,-3.210404,-6.017759,-0.642719,0.433452,-3.847834,-2.695831,-5.432796,2.923289,-3.558327,2.037524,-1.236399,2.574698,0.449847,-1.847834
0.472802051610385,-0.455845,-6.374708,1.176039,0.017610,-3.420511,-3.467817,-1.948443,-1.915276,-1.999668,-3.789745,-2.619820,0.195148,-4.567353,-3.982390,-5.052780,-7.374708,-3.089306,1.103050,5.046174,-2.674268,-4.567353,-5.789745,-3.789745,-0.117320,-4.287245,-2.541818,-4.674268,1.864891,-7.374708,-2.397428,-0.812465,-1.982390,-5.374708,-2.266183
0.3209096507390631,-0.603596,-5.534334,2.784209,-1.099706,-4.833894,-3.074902,-3.890478,-3.949371,-2.701444,-4.949371,-3.142016,1.464257,-4.726979,-3.489940,-2.124943,-5.949371,-1.267547,2.363512,0.723054,-3.142016,-5.364409,-2.651691,-1.286406,-0.194484,-4.833894,-2.676353,-4.949371,1.625538,0.465666,-2.511966,-0.876122,1.869743,2.693282,-2.676353
0.5397562559784032,-0.604036,-5.544874,2.195630,-3.066826,-5.030300,-2.892797,-3.104301,-5.544874,-0.828667,-4.264766,-3.708372,-2.048448,-4.767266,-4.352229,-1.813070,-4.892797,2.561409,2.514278,1.557665,-2.737519,-4.651789,-5.544874,-1.104301,0.005323,-4.182304,-3.445338,-5.030300,2.878392,0.243961,-2.624308,-0.475712,2.472730,3.636456,-2.767266
0.9433125451481555,-0.686191,-5.895644,-1.476105,-4.410217,-4.895644,-3.410217,-4.632610,-2.462685,-4.632610,-3.047647,-1.517133,-0.950786,-5.410217,-2.895644,-2.462685,-3.410217,-1.725719,0.513747,2.792956,-4.758141,-5.217572,-4.632610,-3.173178,0.290222,-4.047647,-2.462685,-5.217572,2.681029,-5.895644,-0.531072,-0.595521,-0.655330,-1.130110,-2.932170
0.3173682989742248,-0.072382,-3.809348,2.641863,-1.934879,-2.487420,-2.306847,-2.809348,-1.265027,-1.750454,-3.586955,-3.586955,-0.349916,-4.809348,-4.072382,-1.750454,-3.224385,-0.371942,1.914029,6.364329,0.488333,-3.394310,-5.394310,-1.224385,-0.463573,-4.394310,-3.394310,-5.394310,1.353883,-2.934879,-1.440114,-0.779600,2.591532,1.175545,-2.146383
0.3847874814089721,-0.984688,-2.734710,1.950517,-3.024216,-3.024216,-2.194141,-3.609179,-2.872213,-4.194141,-3.609179,-2.194141,0.145709,-3.872213,-4.194141,-0.263404,-3.386786,-0.734710,1.223711,1.053786,-2.734710,-3.194141,-4.609179,-1.336160,-0.550285,-1.872213,-2.024216,-5.194141,1.760055,-0.734710,-1.493702,-1.386786,1.198176,2.911767,-3.872213
0.5049560865843897,-0.914106,-0.914106,-0.914106,-0.914106,-0.329144,-0.329144,-0.914106,-0.329144,-0.914106,-0.329144,-0.914106,-0.329144,0.085894,-0.329144,0.085894,0.670856,0.407822,2.085894,-0.914106,-0.914106,1.545325,0.407822,-0.914106,-0.914106,-0.914106,0.893249,-0.329144,-0.329144,-0.914106,0.085894,-0.329144,-0.914106,-0.914106,-0.914106
0.3466534812069035,-0.512374,-5.883933,1.828938,-1.118398,-3.562004,-2.372971,-3.035936,-4.505421,-3.076578,-5.398506,-3.682299,0.688957,-4.883933,-4.398506,-2.779596,-5.035936,2.300943,2.093347,4.676400,-1.347880,-5.205861,-6.205861,-0.189052,-0.200236,-4.505421,-2.848309,-5.398506,1.765683,-0.263346,-2.848309,-0.628432,1.020552,2.551529,-2.651272
0.5831678294210203,-1.330912,-6.670762,0.239131,-1.100906,-5.348834,-3.116173,-2.693482,-1.510891,-0.665137,-3.278445,-2.085799,4.785207,-5.348834,-3.385360,-2.227818,-4.863407,1.516590,0.829084,5.377810,-2.295723,-3.461309,-7.085799,-6.348834,-0.001877,-5.500837,-3.583299,-4.026906,2.366785,-5.670762,-2.763871,-1.170916,-0.059737,-0.308818,-2.583299
